Country	HDI	Life expectancy	Schooling	mean years of school	GNI/cap	LogG/c
Norway	0.949	81.7	17.7	12.7	67614	4.8300366
Australia	0.939	82.5	20.4	13.2	42822	4.6316669
Switzerland	0.939	83.1	16	13.4	56364	4.7510018
Germany	0.926	81.1	17.1	13.2	45000	4.6532125
Denmark	0.925	80.4	19.2	12.7	44519	4.6485454
Singapore	0.925	83.2	15.4	11.6	78162	4.8929957
Netherlands	0.924	81.7	18.1	11.9	46326	4.6658248
Ireland	0.923	81.1	18.6	12.3	43798	4.6414543
Iceland	0.921	82.7	19	12.2	37065	4.568964
Canada	0.92	82.2	16.3	13.1	42582	4.6292261
United States	0.92	79.2	16.5	13.2	53245	4.7262788
"Hong Kong, China (SAR)"	0.917	84.2	15.7	11.6	54265	4.7345198
New Zealand	0.915	82	19.2	12.5	32870	4.5167997
Sweden	0.913	82.3	16.1	12.3	46251	4.6651211
Liechtenstein	0.912	80.2	14.6	12.4	75065	4.8754375
United Kingdom	0.909	80.8	16.3	13.3	37931	4.5789943
Japan	0.903	83.7	15.3	12.5	37268	4.5713361
Korea (Republic of)	0.901	82.1	16.6	12.2	34541	4.5383349
Israel	0.899	82.6	16	12.8	31215	4.4943633
Luxembourg	0.898	81.9	13.9	12	62471	4.7956785
France	0.897	82.4	16.3	11.6	38085	4.580754
Belgium	0.896	81	16.6	11.4	41243	4.6153502
Finland	0.895	81	17	11.2	38868	4.5895922
Austria	0.893	81.6	15.9	11.3	43609	4.6395761
Slovenia	0.89	80.6	17.3	12.1	28664	4.4573368
Italy	0.887	83.3	16.3	10.9	33573	4.5259902
Spain	0.884	82.8	17.7	9.8	32779	4.5155957
Czech Republic	0.878	78.8	16.8	12.3	28144	4.4493858
Greece	0.866	81.1	17.2	10.5	24808	4.3945918
Brunei Darussalam	0.865	79	14.9	9	72843	4.8623878
Estonia	0.865	77	16.5	12.5	26362	4.4209784
Andorra	0.858	81.5	13.5	10.3	47979	4.6810512
Cyprus	0.856	80.3	14.3	11.7	29459	4.469218
Malta	0.856	80.7	14.6	11.3	29500	4.469822
Qatar	0.856	78.3	13.4	9.8	129916	5.1136626
Poland	0.855	77.6	16.4	11.9	24117	4.3823233
Lithuania	0.848	73.5	16.5	12.7	26006	4.4150736
Chile	0.847	82	16.3	9.9	21665	4.3357587
Saudi Arabia	0.847	74.4	16.1	9.6	51320	4.7102866
Slovakia	0.845	76.4	15	12.2	26764	4.427551
Portugal	0.843	81.2	16.6	8.9	26104	4.4167071
United Arab Emirates	0.84	77.1	13.3	9.5	66203	4.8208777
Hungary	0.836	75.3	15.6	12	23394	4.3691045
Latvia	0.83	74.3	16	11.7	22589	4.353897
Argentina	0.827	76.5	17.3	9.9	20945	4.3210804
Croatia	0.827	77.5	15.3	11.2	20291	4.3073035
Bahrain	0.824	76.7	14.5	9.4	37236	4.570963
Montenegro	0.807	76.4	15.1	11.3	15410	4.1878026
Russian Federation	0.804	70.3	15	12	23286	4.3670949
Romania	0.802	74.8	14.7	10.8	19428	4.2884281
Kuwait	0.8	74.5	13.3	7.3	76075	4.881242
Belarus	0.796	71.5	15.7	12	15629	4.1939312
Oman	0.796	77	13.7	8.1	34402	4.5365837
Barbados	0.795	75.8	15.3	10.5	14952	4.1746993
Uruguay	0.795	77.4	15.5	8.6	19148	4.2821234
